2025-12-11 16:57:19.768 [main] INFO  com.alibaba.nacos.client.logging.NacosLogging - Nacos Logging Adapter Builder: com.alibaba.nacos.logger.adapter.logback12.LogbackNacosLoggingAdapterBuilder
2025-12-11 16:57:21.000 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-12-11 16:57:21.000 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
2025-12-11 16:57:21.060 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-11 16:57:21.060 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 849 ms
2025-12-11 16:57:21.138 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-12-11 16:57:21.382 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-12-11 16:57:21.582 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'xiaohashu-oss' URL not provided. Will try picking an instance via load-balancing.
2025-12-11 16:57:21.762 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'xiaohashu-distributed-id-generator' URL not provided. Will try picking an instance via load-balancing.
2025-12-11 16:57:22.309 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2025-12-11 16:57:22.332 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-12-11 16:57:22.332 [main] INFO  c.a.n.p.auth.spi.client.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-12-11 16:57:22.785 [main] INFO  c.a.n.common.ability.AbstractAbilityControlManager - Ready to get current node abilities...
2025-12-11 16:57:22.786 [main] INFO  c.a.n.common.ability.AbstractAbilityControlManager - Ready to initialize current node abilities, support modes: [SDK_CLIENT]
2025-12-11 16:57:22.786 [main] INFO  c.a.n.common.ability.AbstractAbilityControlManager - Initialize current abilities finish...
2025-12-11 16:57:22.786 [main] INFO  c.a.n.c.ability.discover.NacosAbilityManagerHolder - [AbilityControlManager] Successfully initialize AbilityControlManager
2025-12-11 16:57:22.814 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP xiaohashu-user 10.12.41.102:8082 register finished
2025-12-11 16:57:22.894 [main] INFO  c.p.xiaohashu.user.biz.XiaohashuUserBizApplication - Started XiaohashuUserBizApplication in 3.536 seconds (process running for 3.854)
2025-12-11 16:57:22.895 [main] INFO  c.p.x.u.biz.runner.PushRolePermissions2RedisRunner - ==> 服务启动，开始同步角色权限数据到 Redis 中...
2025-12-11 16:57:23.185 [main] DEBUG c.p.x.u.b.d.mapper.RoleDOMapper.selectEnabledList - ==>  Preparing: select id, role_key, role_name from t_role where status = 0 and is_deleted = 0
2025-12-11 16:57:23.307 [main] DEBUG c.p.x.u.b.d.mapper.RoleDOMapper.selectEnabledList - ==> Parameters: 
2025-12-11 16:57:23.336 [main] DEBUG c.p.x.u.b.d.mapper.RoleDOMapper.selectEnabledList - <==      Total: 1
2025-12-11 16:57:23.349 [main] DEBUG c.p.x.u.b.d.m.R.selectByRoleIds - ==>  Preparing: select role_id, permission_id from t_role_permission_rel where role_id in ( ? )
2025-12-11 16:57:23.355 [main] DEBUG c.p.x.u.b.d.m.R.selectByRoleIds - ==> Parameters: 1(Long)
2025-12-11 16:57:23.359 [main] DEBUG c.p.x.u.b.d.m.R.selectByRoleIds - <==      Total: 2
2025-12-11 16:57:23.361 [main] DEBUG c.p.x.u.b.d.m.P.selectAppEnabledList - ==>  Preparing: select id, name, permission_key from t_permission where status = 0 and type = 3 and is_deleted = 0
2025-12-11 16:57:23.362 [main] DEBUG c.p.x.u.b.d.m.P.selectAppEnabledList - ==> Parameters: 
2025-12-11 16:57:23.366 [main] DEBUG c.p.x.u.b.d.m.P.selectAppEnabledList - <==      Total: 2
2025-12-11 16:57:23.378 [main] INFO  c.p.x.u.biz.runner.PushRolePermissions2RedisRunner - ==> 服务启动，成功同步角色权限数据到 Redis 中...
2025-12-11 20:18:21.749 [http-nio-8082-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-11 20:18:21.752 [http-nio-8082-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-11 20:18:21.763 [http-nio-8082-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2025-12-11 20:18:21.785 [http-nio-8082-exec-2] INFO  c.p.f.b.context.filter.HeaderUserId2ContextFilter - ===== 设置 userId 到 ThreadLocal 中， 用户 ID: 1
2025-12-11 20:18:21.921 [http-nio-8082-exec-2] INFO  c.p.f.b.operationlog.aspect.ApiOperationLogAspect - ====== 请求开始: [查询用户信息], 入参: {"id":1}, 请求类: UserController, 请求方法: findById =================================== 
2025-12-11 20:18:21.949 [http-nio-8082-exec-2] DEBUG c.p.x.u.b.d.mapper.UserDOMapper.selectByPrimaryKey - ==>  Preparing: select id, xiaohashu_id, `password`, nickname, avatar, birthday, background_img, phone, sex, `status`, introduction, create_time, update_time, is_deleted from t_user where id = ?
2025-12-11 20:18:21.956 [http-nio-8082-exec-2] DEBUG c.p.x.u.b.d.mapper.UserDOMapper.selectByPrimaryKey - ==> Parameters: 1(Long)
2025-12-11 20:18:21.964 [http-nio-8082-exec-2] DEBUG c.p.x.u.b.d.mapper.UserDOMapper.selectByPrimaryKey - <==      Total: 1
2025-12-11 20:18:21.969 [http-nio-8082-exec-2] INFO  c.p.f.b.operationlog.aspect.ApiOperationLogAspect - ====== 请求结束: [查询用户信息], 耗时: 48ms, 出参: {"success":true,"message":null,"errorCode":null,"data":{"id":1,"nickName":"peiko1","avatar":"http://127.0.0.1:9000/xiaohashu/1f4a34281e164b47b7cda6c031590300.png","introduction":"土木狗"}} =================================== 
2025-12-11 20:18:21.988 [http-nio-8082-exec-2] INFO  c.p.f.b.context.filter.HeaderUserId2ContextFilter - ===== 删除 ThreadLocal， userId: 1
